"Date","Week","Type","Team","Added","Dropped"
"2026-08-24",1,"Add/Drop","Colin Kelly","","PHI"
"2026-08-24",1,"Trade","Ethan Purdy","DJ Moore",""
"2026-08-24",1,"Trade","Tommy Pack","","DJ Moore"
"2026-08-24",1,"Trade","Ethan Purdy","T.J. Hockenson","Tony Pollard"
"2026-08-24",1,"Trade","KING COMMISH","Tony Pollard","T.J. Hockenson"
"2026-08-24",1,"Add/Drop","Colin Kelly","","Najee Harris"
"2026-08-24",1,"Trade","Colin Kelly","Caleb Williams, A.J. Brown","Josh Allen"
"2026-08-24",1,"Trade","KING COMMISH","Josh Allen","Caleb Williams, A.J. Brown"
"2026-08-23",1,"Trade","Colin Kelly","Mike Washington","D'Andre Swift"
"2026-08-23",1,"Trade","Tommy Pack","D'Andre Swift","Mike Washington"
"2026-08-21",1,"Add/Drop","Tommy Pack","Malik Washington",""
"2026-08-20",1,"Add/Drop","Ethan Thimme","","David Njoku"
"2026-08-20",1,"Add/Drop","Ethan Thimme","","Roschon Johnson"
"2026-08-18",1,"Add/Drop","Colin Kelly","Emmett Johnson","Jalen McMillan"
"2026-08-18",1,"Add/Drop","Colin Kelly","Najee Harris","Brenton Strange"
"2026-08-17",1,"Add/Drop","Ethan Purdy","","Cooper Kupp"
"2026-08-17",1,"Add/Drop","Elijah Sartin","","Tez Johnson"
"2026-08-17",1,"Add/Drop","Ethan Thimme","Darren Waller",""
"2026-08-17",1,"Add/Drop","Ethan Purdy","","John Metchie"
"2026-08-17",1,"Add/Drop","Ethan Purdy","","Zonovan Knight"
"2026-08-17",1,"Add/Drop","Ethan Purdy","","James Conner"
"2026-08-17",1,"Add/Drop","Ethan Purdy","","Trey Benson"
"2026-08-17",1,"Add/Drop","Ethan Thimme","David Njoku",""
"2026-08-16",1,"Add/Drop","Tommy Pack","MIN",""
"2026-08-16",1,"Add/Drop","Ethan Purdy","","Joe Mixon"
"2026-08-16",1,"Add/Drop","Ethan Purdy","","SF"
"2026-08-16",1,"Add/Drop","Ethan Purdy","","David Njoku"
"2026-08-16",1,"Add/Drop","KING COMMISH","Barion Brown",""
"2026-08-06",1,"Add/Drop","Ethan Thimme","","Treylon Burks"
"2026-08-05",1,"Trade","Kellen McHugh","Cam Skattebo","Saquon Barkley"
"2026-08-05",1,"Trade","Colin Kelly","Saquon Barkley","Cam Skattebo"
"2026-08-05",1,"Add/Drop","Kellen McHugh","Colbie Young",""
"2026-08-04",1,"Add/Drop","Colin Kelly","Brenton Strange",""
"2026-08-04",1,"Add/Drop","KING COMMISH","Cyrus Allen",""
"2026-07-31",1,"Add/Drop","Colin Kelly","","Emmett Johnson"
"2026-07-23",1,"Add/Drop","Ethan Thimme","Sam Darnold",""
"2026-07-20",1,"Add/Drop","Ethan Thimme","Treylon Burks",""
"2026-06-17",1,"Add/Drop","Ethan Thimme","Malik Davis","DET"
"2026-06-16",1,"Add/Drop","Kellen McHugh","Evan McPherson",""
"2026-06-10",1,"Add/Drop","Kellen McHugh","","Jauan Jennings"
"2026-06-10",1,"Add/Drop","Kellen McHugh","","Tyler Loop"
"2026-06-03",1,"Add/Drop","Ethan Thimme","NE",""
"2026-06-03",1,"Add/Drop","Ethan Thimme","BAL",""
"2026-06-02",1,"Add/Drop","Ethan Thimme","DET","Calvin Austin"
"2026-05-27",1,"Add/Drop","Tommy Pack","MarShawn Lloyd",""
